Word,Translation,Frequency,English frequency
handicraft,ਦਸਤਕਾਰੀ,76,13
handiwork,ਦਸਤਕਾਰੀ,76,12
hanging,ਫਾਂਸੀ,837,418
hawaii,ਹਵਾਈ,8311,17
hawking,ਫੇਰੀ,694,29
headmaster,ਪ੍ਰਿਸੀਪਲ,22,57
headmistress,ਪ੍ਰਿਸੀਪਲ,22,17
headquarters,ਸਦਰ,1346,853
hearing,ਸੁਣਨ,1691,3298
hearsay,ਅਫਵਾਹ,364,31
heir,ਵਾਰਿਸ,57,50
hell,ਨਰਕ,104,830
herd,ਵੱਗ,120,34
hg,ਪਾਰਾ,244,68
hiccup,ਹਿਚਕੀ,21,27
hind,ਹਿਰਨੀ,10,47
hindi,ਹਿੰਦੀ,2789,2178
hindu,ਹਿੰਦੂ,3402,2166
hinduism,ਹਿੰਦੂਤਵ,104,183
hiss,ਫਰਾਟਾ,22,8
history,ਇਤਿਹਾਸ,8711,7932
hit,ਧੱਕਾ,528,3058
hitting,ਧੱਕਾ,528,288
holder,ਧਾਰਕ,369,236
holiday,ਛੁੱਟੀ,3866,1818
holy,ਧਾਮ,120,989
homeowner,ਘਰਵਾਲਾ,9,32
hoot,ਫਰਾਟਾ,22,15
horizon,ਪੱਛਮ,838,62
horse,ਘੋੜਾ,161,235
hospital,ਹਸਪਤਾਲ,29614,23816
humankind,ਮਨੁਖ,88,43
humans,ਮਨੁਖ,88,1757
humidity,ਨਮੀ,1591,556
hunger,ਭੁੱਖ,1391,549
hunt,ਸ਼ਿਕਾਰ,1507,537
hunting,ਸ਼ਿਕਾਰ,1507,148
hyderabad,ਹੈਦਰਾਬਾਦ,1449,1076
idealist,ਆਦਰਸ਼ਵਾਦੀ,9,9
idiom,ਬੋਲੀ,1084,20
idol,ਮੂਰਤੀ,667,155
imbalance,ਅਸੰਤੁਲਨ,136,97
imitation,ਨਕਲ,404,68
immigrant,ਪ੍ਰਵਾਸੀ,767,69
immigration,ਪ੍ਰਵਾਸ,87,313
immorality,ਅਨੈਤਿਕਤਾ,11,9
impartiality,ਨਿਰਪੱਖਤਾ,252,13
impasse,ਜਾਮ,1481,58
impossible,ਅਨਹੋਣੀ,1414,2849
impotence,ਨਪੁੰਸਕਤਾ,28,13
incentive,ਬੋਨਸ,353,108
indecency,ਅਸ਼ਲੀਲਤਾ,16,10
indicator,ਸੰਕੇਤਕ,174,468
indigestion,ਬਦਹਜ਼ਮੀ,47,52
indigo,ਨੀਲ,330,120
indus,ਸਿੰਧ,445,90
infection,ਸੰਕਰਮਣ,424,3214
infinite,ਖਗੋਲ,56,127
ingredient,ਵਿਅੰਗ,136,232
insanity,ਪਾਗਲਪਣ,60,40
insecurity,ਅਸੁਰੱਖਿਆ,67,57
inside,ਅੰਦਰੂਨੀ,4534,3800
instability,ਅਸੰਤੁਲਨ,136,89
instinct,ਸੁਭਾਵਿਕ,258,48
interchange,ਨਿਯਮਿਤ,1545,23
interior,ਅੰਦਰੂਨੀ,4534,1908
intermediary,ਵਿਚੋਲਾ,23,32
interrogation,ਸੁਆਲ,904,776
intersection,ਚੌਂਕ,112,59
interval,ਅੰਤਰਾਲ,266,69
inverse,ਗਿਣਤੀ,22079,35
investor,ਨਿਵੇਸ਼ਕ,126,157
irritation,ਘਬਰਾਹਟ,647,202
jack,ਕਟਲ,10,165
jackfruit,ਕਟਲ,10,10
january,ਜਨਵਰੀ,14,22
jeep,ਜੀਪ,188,85
jenny,ਗਧੀ,16,14
jinx,ਸਰਾਪ,120,11
joker,ਜੋਕਰ,30,20
journalism,ਪੱਤਰਕਾਰੀ,196,147
july,ਜੁਲਾਈ,18,34
junction,ਜੋੜ,1653,70
june,ਜੂਨ,14,34
jupiter,ਗੁਰੂ,9396,22
jurisprudence,ਨਿਆ,100,21
justification,ਪ੍ਰਮਾਣਿਕਤਾ,141,72
jute,ਜੂਟ,23,29
kalki,ਕਲਿਕ,933,27
kangaroo,ਕੰਗਾਰੂ,19,14
karnataka,ਕਰਨਾਟਕ,1773,1701
kartik,ਕੱਤਕ,23,129
kathmandu,ਕਾਠਮਾਂਡੂ,14,89
kilometer,ਕਿਲੋਮੀਟਰ,4202,89
kilometre,ਕਿਲੋਮੀਟਰ,4202,47
km,ਕਿਲੋਮੀਟਰ,4202,1731
knee,ਗੋਡਾ,39,569
knitting,ਬੁਨਾਈ,9,74
knockout,ਕਾਮਿਨੀ,18,44
korea,ਕੋਰੀਆ,1743,911
kos,ਕੋਹ,30,12
ladder,ਪੌੜੀ,135,79
lakh,ਲੱਖ,10980,6953
lama,ਲਾਮਾ,59,58
lament,ਵਿਰਲਾਪ,41,15
laugh,ਹੱਸਣਾ,54,643
lava,ਲਾਵਾ,79,49
law,ਨਿਆ,100,7928
leap,ਕੁੱਦਣਾ,10,84
learner,ਵਿਦਿਆਰਥਣ,690,19
learning,ਵਿਦਵਤਾ,24,2155
leather,ਚਮੜਾ,47,450
legend,ਦੰਤਕਥਾ,54,448
legislator,ਵਿਧਾਇਕ,6469,252
lemon,ਨਿੰਬੂ,2089,1018
liaison,ਵਿਭਚਾਰ,43,53
library,ਲਾਇਬ੍ਰੇਰੀ,426,661
lick,ਮੁੱਕਾ,23,19
limit,ਸੀਮਾ,2614,1318
limitation,ਸੀਮਾ,2614,96
lioness,ਸ਼ੇਰਨੀ,9,11
liquidity,ਤਰਲਤਾ,40,35
listening,ਸੁਣਨ,1691,992
lit,ਸਾਹਿਤ,1488,198
literacy,ਸਾਖਰਤਾ,85,110
liver,ਜਿਗਰ,1090,1121
locality,ਮਹੱਲਾ,23,274
loneliness,ਤਨਹਾਈ,16,134
lover,ਭਗਤ,1095,437
lulu,ਕਾਮਿਨੀ,18,8
lump,ਸੋਜ,720,99
lust,ਕਾਮੁਕਤਾ,24,50
lyricist,ਗੀਤਕਾਰ,223,75
madness,ਪ੍ਰਕੋਪ,511,94
madras,ਤਾਮਿਲਨਾਡੂ,1013,213
magician,ਜਾਦੂਗਰ,67,23
magnet,ਚੁੰਬਕ,51,37
magnolia,ਚੰਬਾ,66,10
mahabharata,ਮਹਾਂਭਾਰਤ,13,18
maharashtra,ਮਹਾਂਰਾਸ਼ਟਰ,143,3513
mainstay,ਸਤੰਭ,11,70
majority,ਬਹੁਮੱਤ,96,2609
makeup,ਸ਼ਿੰਗਾਰ,19,286
malnutrition,ਕੁਪੋਸ਼ਣ,100,89
mammal,ਥਣਧਾਰੀ,25,16
manager,ਕੋਚ,1828,901
manipur,ਮਨੀਪੁਰ,188,242
mankind,ਮਨੁਖ,88,359
manufacturer,ਉਤਪਾਦਕ,489,958
map,ਨਕਸ਼ਾ,88,588
marathi,ਮਰਾਠੀ,254,244
marble,ਗੋਲੀ,3591,95
marching,ਪਰੇਡ,712,115
margin,ਮਾਰਜਨ,15,250
married,ਵਿਆਹਿਆ,319,4370
martyr,ਸ਼ਹੀਦ,2943,212
marvel,ਅਜਬ,35,66
masking,ਢਕਣਾ,9,16
math,ਗਣਿਤ,352,97
mathematics,ਗਣਿਤ,352,191
maths,ਗਣਿਤ,352,26
matter,ਮਾਮਲਾ,28060,16392
maxim,ਪੰਗਤੀ,30,52
measure,ਬਿੱਲ,3790,1208
mechanization,ਮਸ਼ੀਨੀਕਰਨ,24,17
medical,ਜਾਂਚ,43163,11381
medicine,ਡਾਕਟਰੀ,2892,3444
meditation,ਧਿਆਨ,29842,154
melody,ਲੈਅ,398,32
menstruation,ਮਹੀਨਾ,775,187
menu,ਮੀਨੂ,152,608
meteor,ਉਲਕਾ,10,19
meter,ਤਾਲ,121,407
metre,ਤਾਲ,121,129
metropolis,ਮਹਾਂਨਗਰ,93,76
microbe,ਕੀਟ,85,11
microscope,ਮਾਈਕਰੋਸਕੋਪ,21,45
midday,ਦੁਪਹਿਰ,1852,30
midwife,ਦਾਈ,36,36
mill,ਚੱਕੀ,53,141
millet,ਬਾਜਰਾ,40,35
minus,ਘਟਾਉਣਾ,569,187
misfortune,ਬਦਕਿਸਮਤੀ,1548,41
miss,ਕੁਮਾਰੀ,349,1082
mister,ਸ਼੍ਰੀ,2025,12
misuse,ਦੁਰਉਪਯੋਗ,27,192
mitra,ਮਿੱਤਰ,1251,90
mixing,ਮਿਸ਼ਰਣ,565,255
modernism,ਆਧੁਨਿਕਤਾ,131,14
modernity,ਆਧੁਨਿਕਤਾ,131,90
mohammad,ਮਹੁੰਮਦ,9,693
mohammed,ਮਹੁੰਮਦ,9,500
mole,ਤਿਲ,247,31
monday,ਸੋਮਵਾਰ,73,84
morale,ਮਨੋਬਲ,307,122
morbidity,ਰੋਗ,6563,15
motor,ਪ੍ਰੇਰਕ,289,985
motto,ਨਾਅਰਾ,168,68
mountaineer,ਪਰਬਤਾਰੋਹੀ,15,11
mouthpiece,ਬੁਲਾਰਾ,183,55
mr,ਸ਼੍ਰੀ,2025,11018
ms,ਸ਼੍ਰੀ,2025,856
mud,ਚਿੱਕੜ,149,142
muhammad,ਮਹੁੰਮਦ,9,261
museum,ਅਜਾਇਬਘਰ,117,2269
music,ਸੰਗੀਤ,4744,4774
myanmar,ਬ੍ਰਹਮਾ,72,223
mysore,ਕਰਨਾਟਕ,1773,35
nail,ਫੜਨਾ,77,286
narrator,ਸੂਤਰਧਾਰ,31,19
natural,ਪਾਤਰ,820,6007
ne,ਉੱਤਰ-ਪੂਰਬ,206,28
necessity,ਲੋੜ,47571,293
nectar,ਅੰਮ੍ਰਿਤ,192,28
neem,ਨਿੰਮ,101,85
neighbor,ਗੁਆਂਡੀ,9,389
neighborhood,ਮਹੱਲਾ,23,115
neighbour,ਗੁਆਂਡੀ,9,215
neighbourhood,ਮਹੱਲਾ,23,162
nepal,ਨੇਪਾਲ,1386,1024
neptune,ਵਰੁਣ,636,10
nest,ਆਲ੍ਹਣਾ,36,45
node,ਗੱਠ,52,41
noon,ਦੁਪਹਿਰ,1852,14
northeast,ਉੱਤਰ-ਪੂਰਬ,206,365
noun,ਨਾਂਵ,26,45
novel,ਨਾਵਲ,1058,878
november,ਨਵੰਬਰ,11,21
nun,ਸਾਧਵੀ,106,19
nursery,ਨਰਸਰੀ,204,142
nursing,ਸੇਵਾ,12289,485
nutrition,ਪੌਸ਼ਟਿਕ,539,1488
october,ਅਕਤੂਬਰ,12,26
offspring,ਕੱਟਾ,41,60
oil,ਤੇਲ,10111,7957
ooze,ਚਿੱਕੜ,149,15
opium,ਅਫੀਮ,184,119
opponent,ਵਿਰੋਧੀ,7649,130
oppression,ਦਮਨ,92,83
optimism,ਆਸ਼ਾਵਾਦ,309,39
optimist,ਆਸ਼ਾਵਾਦੀ,34,87
orbiter,ਸੈਟੇਲਾਇਟ,11,37
organiser,ਪ੍ਰਬੰਧਕ,1737,15
organizer,ਪ੍ਰਬੰਧਕ,1737,31
outbreak,ਪ੍ਰਕੋਪ,511,1114
outing,ਪਿਕਨਿਕ,118,123
ovary,ਅੰਡਕੋਸ਼,10,31
oven,ਭੱਠੀ,150,332
overhaul,ਕੱਢਣਾ,418,28
owl,ਉੱਲੂ,185,48
painter,ਪੇਂਟਰ,34,123
paisa,ਪੈਸਾ,4624,19
pakistani,ਪਾਕਿਸਤਾਨੀ,2825,2417
pal,ਅਜ਼ੀਜ਼,101,570
palate,ਤਾਲੂ,20,10
pali,ਪਾਲੀ,73,11
palm,ਹਥੇਲੀ,52,184
palsy,ਲਕਵਾ,23,13
panel,ਜੂਰੀ,11,1324
panjabi,ਪੰਜਾਬੀ,4498,8
papaya,ਪਪੀਤਾ,83,36
parade,ਪਰੇਡ,712,369
paralysis,ਲਕਵਾ,23,54
parasite,ਚਿੱਚੜ,17,39
park,ਪਾਰਕ,4327,3560
parliament,ਸੰਸਦ,8084,4014
parliamentarian,ਸੰਸਦੀ,1369,78
partition,ਵਿਭਾਜਨ,56,236
parvati,ਅੰਨਪੂਰਣਾ,10,43
pass,ਪਾਸ,6509,1735
passenger,ਸਵਾਰੀ,416,964
passion,ਖੁਜਲੀ,347,636
pathogen,ਰੋਗਾਣੂ,185,56
patriot,ਦੇਸ਼ਭਗਤ,17,16
patriotism,ਰਾਸ਼ਟਰੀਅਤਾ,14,29
paw,ਹੱਥ,7707,8
peach,ਕਾਮਿਨੀ,18,68
peculiarity,ਵਿਲੱਖਣਤਾ,274,178
peddling,ਫੇਰੀ,694,44
pee,ਪਿਸ਼ਾਬ,21,17
peninsula,ਪ੍ਰਾਇਦੀਪ,171,198
penis,ਲਿੰਗ,773,35
pension,ਪੈਨਸ਼ਨ,469,621
perfect,ਭੂਤਕਾਲ,11,4195
performance,ਸੰਪਾਦਨ,89,2711
pessimist,ਨਿਰਾਸ਼ਾਵਾਦੀ,11,75
pesticide,ਕੀਟਨਾਸ਼ਕ,74,63
pharmacy,ਮੈਡੀਕਲ,8855,262
philanthropist,ਪਰਉਪਕਾਰੀ,42,26
philosophy,ਦਰਸ਼ਨ,832,409
phlegm,ਬਲਗਮ,32,27
photographer,ਫੋਟੋਗ੍ਰਾਫਰ,367,385
phraseology,ਸ਼ਬਦਾਵਲੀ,94,9
pigeon,ਕਬੂਤਰ,112,11
pilgrimage,ਤੀਰਥ,362,126
pill,ਗੋਲੀ,3591,76
pilot,ਪਾਇਲਟ,1286,734
pinch,ਫੜਨਾ,77,208
pinky,ਨਿੱਕੀ,578,39
pisces,ਮੀਨ,32,15
piss,ਪਿਸ਼ਾਬ,21,15
plaintiff,ਮੁਦਈ,45,15
plane,ਉਡਾਉਣਾ,53,1264
playwright,ਨਾਟਕਕਾਰ,64,46
pledge,ਦਿਲਾਸਾ,200,175
plight,ਰੋਕਣਾ,742,159
plot,ਰਚਨਾ,2876,466
pocket,ਜੇਬ,345,226
pole,ਕਿੱਲਾ,12,117
politician,ਰਾਜਨੀਤੀਵਾਨ,14,518
popularity,ਪ੍ਰਸਿੱਧੀ,1159,949
porter,ਦਰਬਾਨ,13,18
pose,ਨਖ਼ਰਾ,15,359
postmortem,ਪੋਸਟਮਾਰਟਮ,5982,1354
potter,ਘੁਮਿਆਰ,17,36
poverty,ਗਰੀਬੀ,445,562
practice,ਸਾਧਨਾ,103,2506
predicament,ਦੁਰਦਸ਼ਾ,69,33
premises,ਵਿਹੜਾ,42,955
present,ਵਰਤਮਾਨ,2601,24068
presidency,ਪ੍ਰਧਾਨਗੀ,2681,131
pressure,ਦਬਾਅ,3385,4490
pretence,ਨਾਟਕ,725,19
pretending,ਨਾਟਕ,725,40
pretense,ਨਾਟਕ,725,13
prey,ਸ਼ਿਕਾਰ,1507,130
printing,ਛਪਾਈ,169,195
prior,ਮਹੰਤ,107,1333
producer,ਉਤਪਾਦਕ,489,862
prof,ਪ੍ਰੋਫੈਸਰ,889,549
professor,ਪ੍ਰੋਫੈਸਰ,889,562
program,ਪਾਠਕ੍ਰਮ,180,4221
programme,ਪਾਠਕ੍ਰਮ,180,5150
projector,ਪ੍ਰੋਜੈਕਟਰ,30,36
promptness,ਚੁਸਤੀ,84,8
proposal,ਰਿਸ਼ਤਾ,878,1461
prose,ਗਦ,24,53
prostitute,ਵੇਸਵਾ,23,15
protein,ਪ੍ਰੋਟੀਨ,4358,2990
protester,ਵਿਰੋਧੀ,7649,64
psychology,ਮਨੋਵਿਗਿਆਨ,674,599
publication,ਪ੍ਰਕਾਸ਼ਨ,87,247
publisher,ਪ੍ਰਕਾਸ਼ਕ,32,52
publishing,ਪ੍ਰਕਾਸ਼ਨ,87,127
puffiness,ਸੋਜ,720,33
pulse,ਧੜਕਣਾ,9,176
pumpkin,ਕੱਦੂ,184,255
punch,ਮੁੱਕਾ,23,39
punjabi,ਪੰਜਾਬੀ,4498,1916
pushover,ਖੇਡ,12559,12
pyre,ਚਿਤਾ,13,9
qaeda,ਅਲਕਾਇਦਾ,137,65
quake,ਭੂਚਾਲ,2051,411
quality,ਗੁਣਵੱਤਾ,7418,8842
quarry,ਸ਼ਿਕਾਰ,1507,26
quartz,ਬਲੌਰ,32,27
queen,ਰਾਣੀ,809,450
quota,ਕੋਟਾ,261,222
radical,ਧਾਤੂ,229,233
radish,ਮੂਲੀ,111,69
raise,ਉਚਾਈ,1970,1401
ram,ਮੇਖ,100,4660
ramayana,ਰਮਾਇਣ,47,47
ransom,ਫਿਰੌਤੀ,189,81
rapist,ਬਲਾਤਕਾਰੀ,24,40
raspberry,ਫਰਾਟਾ,22,49
rating,ਮੁਲਾਂਕਣ,1402,411
reading,ਅਧਿਐਨ,4675,3274
rebirth,ਪੁਨਰਜਨਮ,18,18
rectangle,ਆਇਤ,92,27
recurrence,ਵਾਪਸੀ,2169,57
redevelopment,ਨਵੀਨੀਕਰਣ,25,44
referee,ਰੈਫਰੀ,56,53
reflection,ਅਕਸ,303,248
refugee,ਸ਼ਰਨਾਰਥੀ,68,81
refund,ਉੱਤਰਨਾ,12,242
rehearsal,ਪਰੈਕਟਿਸ,10,26
reincarnation,ਪੁਨਰਜਨਮ,18,20
rejuvenation,ਤਬਦੀਲੀ,5697,59
relevance,ਪ੍ਰਸੰਗਿਕਤਾ,14,136
remark,ਟਿੱਪਣੀ,4984,319
remembering,ਯਾਦ,11291,304
renovation,ਨਵੀਨੀਕਰਣ,25,126
replacement,ਵਾਰਿਸ,57,330
report,ਰਿਪੋਰਟ,11652,9142
reproduction,ਪ੍ਰਜਨਣ,18,170
requirement,ਮੰਗ,17174,565
resonance,ਗੂੰਜ,112,35
respite,ਅੰਤਰਾਲ,266,75
retaliation,ਬਦਲਾ,333,117
retirement,ਸੇਵਾਮੁਕਤੀ,60,440
revenge,ਬਦਲਾ,333,123
revenue,ਮਾਮਲਾ,28060,777
rhetoric,ਵਕਤਾ,17,67
rice,ਝੋਨਾ,337,1113
riches,ਧਨ,1160,21
richness,ਅਮੀਰੀ,91,40
rider,ਸਵਾਰੀ,416,315
ringing,ਘੰਟੀ,161,86
rival,ਪਾਉਣਾ,1300,195
roar,ਗਰਜ,94,45
roll,ਭਟਕਣਾ,54,531
rolling,ਘੋਸ਼ਣਾ,311,192
roof,ਛੱਤ,2242,711
roughness,ਕਰੂਰਤਾ,21,10
royal,ਹਿਰਨ,93,706
rub,ਰਗੜ,187,197
rubbing,ਰਗੜ,187,104
ruin,ਵਿਨਾਸ਼ਕਾਰੀ,44,177
rumor,ਅਫਵਾਹ,364,70
rumour,ਅਫਵਾਹ,364,130
rupee,ਰੁਪਏ,18234,468
sagittarius,ਧਨੁ,43,20
sale,ਬਿਕਰੀ,10,1377
sandalwood,ਚੰਦਨ,155,33
sanskrit,ਸੰਸਕ੍ਰਿਤ,233,179
sap,ਰਸ,2001,45
saree,ਸਾੜੀ,97,58
sari,ਸਾੜੀ,97,19
sash,ਪਟਕਾ,13,11
saturn,ਸ਼ਨੀ,13,9
satyagraha,ਸੱਤਿਆਗ੍ਰਹਿ,34,21
savage,ਕਸਾਈ,13,33
saver,ਤਰਨਤਾਰਨ,335,12
scare,ਡਰਾਉਣਾ,1634,338
schedule,ਪ੍ਰੋਗਰਾਮ,11566,943
scholar,ਵਿਦਿਆਰਥਣ,690,182
scissors,ਕੈਂਚੀ,27,50
score,ਅੰਕ,2700,822
scorpio,ਬ੍ਰਿਸ਼ਚਕ,35,73
scorpion,ਬ੍ਰਿਸ਼ਚਕ,35,16
scowl,ਤੇਵਰ,27,9
screening,ਢਕਣਾ,9,535
sculptor,ਮੂਰਤੀਕਾਰ,19,33
se,ਦੱਖਣ-ਪੂਰਬ,128,138
sea,ਸਾਗਰ,1505,3273
seam,ਸਿਲਾਈ,272,42
secretion,ਰਸ,2001,30
sedan,ਪਾਲਕੀ,54,36
segmentation,ਵਿਭਾਜਨ,56,9
semblance,ਅਹਿਸਾਸ,2171,9
semi,ਸੈਮੀਫਾਇਨਲ,65,56
semifinal,ਸੈਮੀਫਾਇਨਲ,65,161
semolina,ਸੂਜੀ,40,18
sensitivity,ਸੰਵੇਦਨਸ਼ੀਲਤਾ,77,305
sesame,ਤਿਲ,247,153
session,ਸਤਰ,161,2936
shade,ਛਾਂ,261,573
shadow,ਪਰਛਾਵਾਂ,63,138
shakti,ਸ਼ਕਤੀ,1232,165
sham,ਪਖੰਡੀ,24,158
shamelessness,ਬੇਸ਼ਰਮੀ,34,8
sheen,ਚਮਕ,648,22
shift,ਹਟਾਉਣਾ,270,427
shiite,ਸ਼ੀਆ,91,15
shopping,ਖਰੀਦਾਰੀ,95,919
shyness,ਸ਼ਰਮਿੰਦਗੀ,72,18
siddhartha,ਗੌਤਮ,540,17
signature,ਹਸਤਾਖਰ,400,128
sikkim,ਸਿੱਕਮ,144,130
sis,ਭੈਣ,2498,12
sister,ਭੈਣ,2498,1768
skepticism,ਅਵਿਸ਼ਵਾਸ,14,8
sketch,ਕਾਰਟੂਨ,282,69
skid,ਖਿਸਕਣ,293,9
skyline,ਪੱਛਮ,838,9
slavery,ਗੁਲਾਮੀ,78,46
sleeper,ਸੁੱਤਾ,300,27
slime,ਚਿੱਕੜ,149,16
slip,ਖਿਸਕਣ,293,98
slogan,ਨਾਅਰਾ,168,276
sludge,ਚਿੱਕੜ,149,9
smoke,ਤੰਬਾਕੂਨੋਸ਼ੀ,104,494
smoking,ਧੂੰਆਂ,255,959
smoothness,ਚਿਕਨਾਈ,24,16
snap,ਖਿੱਚਣਾ,157,64
socialism,ਸਮਾਜਵਾਦ,48,41
soreness,ਘਬਰਾਹਟ,647,80
south,ਦੱਖਣ,1277,4799
southeast,ਦੱਖਣ-ਪੂਰਬ,128,217
southwest,ਦੱਖਣ-ਪੱਛਮ,119,157
space,ਖਗੋਲ,56,3847
spectator,ਦਰਸ਼ਕ,345,78
sphere,ਮੰਡਲ,2624,398
spider,ਮੱਕੜੀ,62,53
spin,ਮਰੋੜ,71,158
sputum,ਬਲਗਮ,32,26
squirrel,ਕਾਟੋ,38,15
stalemate,ਜਾਮ,1481,87
standstill,ਜਾਮ,1481,154
stationery,ਸਟੇਸ਼ਨਰੀ,25,38
stem,ਧਾਤੂ,229,132
step,ਪੌੜੀ,135,4569
stone,ਪੱਥਰ,1784,1472
storage,ਗੁਦਾਮ,33,2043
storehouse,ਗੁਦਾਮ,33,57
storm,ਤੂਫਾਨ,854,795
storyteller,ਸੂਤਰਧਾਰ,31,21
striking,ਧੱਕਾ,528,296
student,ਵਿਦਿਆਰਥਣ,690,2682
stunner,ਕਾਮਿਨੀ,18,14
subcontinent,ਉਪਮਹਾਂਦੀਪ,23,92
subdivision,ਉਪਭਾਗ,10,71
successor,ਵਾਰਿਸ,57,64
sufferer,ਸ਼ਹੀਦ,2943,22
sugarcane,ਗੰਨਾ,292,293
sunlight,ਧੁੱਪ,545,589
sunni,ਸੁੰਨੀ,107,50
sunstroke,ਲੂ,171,15
surname,ਗੋਤ,48,54
surrender,ਆਤਮਸਮਰਪਣ,41,205
suspect,ਵਿਰੋਧੀ,7649,1221
swallow,ਨਿਗਲਣਾ,14,80
sweetheart,ਕਾਮਿਨੀ,18,35
swelling,ਸੋਜ,720,563
swimmer,ਤੈਰਾਕ,48,45
syllabus,ਪਾਠਕ੍ਰਮ,180,129
tab,ਗੋਲੀ,3591,180
tablet,ਗੋਲੀ,3591,425
tact,ਵਿਵਹਾਰਕਤਾ,9,15
takeoff,ਉਡਾਨ,258,28
tart,ਵੇਸਵਾ,23,21
taurus,ਬ੍ਰਿਖ,14,67
taxation,ਮਾਮਲਾ,28060,122
tb,ਟੀਬੀ,141,126
technologist,ਇੰਜੀਨੀਅਰ,655,10
technology,ਤਕਨੀਕ,2553,3621
teen,ਬਾਲਿਕਾ,20,166
teenager,ਬਾਲਿਕਾ,20,412
telecom,ਦੂਰਸੰਚਾਰ,208,317
telecommunication,ਦੂਰਸੰਚਾਰ,208,45
teller,ਸੂਤਰਧਾਰ,31,17
temperament,ਮਾਨਸਿਕਤਾ,557,77
temperature,ਤਾਪਮਾਨ,8222,5940
terrorism,ਅੱਤਵਾਦ,1748,1225
testament,ਵਸੀਅਤ,47,41
th,ਬੁੱਧਵਾਰ,65,114
thermometer,ਥਰਮਾਮੀਟਰ,158,125
thief,ਚੋਰ,589,169
thigh,ਪੱਟ,153,91
thinness,ਕਮਜ਼ੋਰੀ,257,8
thirst,ਪਿਆਸ,249,94
thorn,ਕੰਡਾ,22,9
thrill,ਰੋਮਾਂਚ,47,59
thrower,ਘੁਮਿਆਰ,17,58
thumb,ਅੰਗੂਠਾ,26,98
thunder,ਗਰਜ,94,63
thursday,ਬੁੱਧਵਾਰ,65,77
tibet,ਤਿੱਬਤ,341,122
tobacco,ਤੰਬਾਕੂ,796,538
tooth,ਦੰਦ,878,335
top,ਟੀਸੀ,11,5712
tope,ਪੀਣਾ,1445,30
torso,ਧੜ,45,21
touch,ਸੰਪਰਕ,11668,1561
tourist,ਸੈਲਾਨੀ,2274,801
toy,ਖੇਡਣਾ,844,306
tracing,ਟ੍ਰੇਸਿੰਗ,21,119
transition,ਸੰਕ੍ਰਮਣ,230,263
translation,ਰੂਪਾਂਤਰਣ,30,228
translator,ਅਨੁਵਾਦਕ,38,28
transmission,ਪ੍ਰਸਾਰਣ,788,1228
transmitting,ਪ੍ਰਸਾਰਣ,788,25
transparency,ਪਾਰਦਰਸ਼ਤਾ,200,296
treasurer,ਖਜਾਨਚੀ,25,66
triangle,ਤਿਕੋਣ,49,40
tribute,ਸ਼ਰਧਾਜਲੀ,32,733
trilateral,ਤਿਕੋਣ,49,23
trump,ਬਾਜਾ,11,5327
trumpet,ਬਾਜਾ,11,8
trunk,ਧੜ,45,101
trustee,ਟਰੱਸਟੀ,60,30
tuberculosis,ਟੀਬੀ,141,124
tuesday,ਮੰਗਲਵਾਰ,55,68
tutor,ਟਿਊਟਰ,14,52
twins,ਮਿਥੁਨ,79,117
twist,ਮਰੋੜ,71,172
twisting,ਮਰੋੜ,71,17
twitch,ਪਕੜ,349,12
twitching,ਪਕੜ,349,12
twitter,ਗੂੰਜ,112,4814
umbilical,ਨਾਰ,24,30
unavailability,ਅਣਹੋਂਦ,376,22
underwear,ਅੰਦਰਲੇ,535,132
university,ਯੂਨੀਵਰਸਿਟੀ,8452,5921
untouchable,ਹਰੀਜਨ,10,13
upgrade,ਤਰੱਕੀ,1811,167
urine,ਪਿਸ਼ਾਬ,21,339
usefulness,ਉਪਯੋਗਤਾ,117,74
using,ਸ਼ੋਸ਼ਣ,497,7690
utility,ਉਪਯੋਗਤਾ,117,189
vacation,ਛੁੱਟੀ,3866,948
vastness,ਵਿਸ਼ਾਲਤਾ,12,12
veda,ਵੇਦ,133,44
vegetable,ਕਰੇਲਾ,29,1143
vegetarian,ਸ਼ਾਕਾਹਾਰੀ,89,80
veggie,ਕਰੇਲਾ,29,13
vending,ਫੇਰੀ,694,40
venus,ਵੀਨਸ,37,39
veranda,ਛੱਜਾ,14,43
verandah,ਛੱਜਾ,14,11
verb,ਕਿਰਿਆ,550,25
verification,ਪ੍ਰਮਾਣੀਕਰਨ,18,323
version,ਪ੍ਰਤੀਰੂਪ,10,1494
vicinity,ਮਹੱਲਾ,23,260
victor,ਜੇਤੂ,4605,75
viewer,ਦਰਸ਼ਕ,345,79
villain,ਖਲਨਾਇਕ,91,108
virgin,ਕਲੀ,35,127
vitamin,ਵਿਟਾਮਿਨ,7516,4323
vocabulary,ਸ਼ਬਦਾਵਲੀ,94,89
voter,ਵੋਟਰ,730,336
voucher,ਕੂਪਨ,97,31
w,ਪੱਛਮ,838,163
wail,ਵਿਰਲਾਪ,41,14
waist,ਕਮਰ,670,129
waking,ਜਾਗ੍ਰਿਤ,11,106
walk,ਚਾਲ,924,1590
walkover,ਖੇਡ,12559,9
ward,ਵਾਰਡ,670,388
wart,ਮੱਸਾ,10,26
waste,ਕੱਲਰ,19,1011
water,ਭਰਨਾ,475,35897
waterfall,ਝਰਨਾ,101,103
wealth,ਧਨ,1160,519
